recipe_id,user_id,ratings
382,73,2
382,63,2
382,16,4
382,77,2
382,32,4
382,6,1
382,49,2
382,50,3
382,22,1
382,78,4
382,26,3
382,30,1
382,4,3
382,57,1
382,10,1
382,27,4
382,99,4
382,13,2
382,52,4
382,86,4
382,54,2
382,3,4
382,43,1
382,33,1
382,75,2
382,28,3
383,41,4
383,84,4
383,36,4
383,50,1
383,11,4
383,27,4
383,76,1
383,73,2
383,18,4
383,82,4
383,57,2
383,60,4
383,55,3
383,48,2
383,4,2
383,24,1
383,1,1
383,67,4
383,44,2
383,58,3
383,35,4
383,69,2
383,45,3
383,31,3
383,39,2
384,19,3
384,91,1
384,36,1
384,84,4
384,77,1
384,58,1
384,41,4
384,43,1
384,89,4
384,69,3
384,86,2
384,7,1
384,68,3
384,9,4
384,37,1
384,64,1
384,38,2
384,79,3
384,53,3
384,90,1
384,13,3
384,28,2
384,85,1
384,94,3
384,42,3
384,27,1
384,25,2
384,55,1
384,46,3
386,95,1
386,61,4
386,68,4
386,3,2
386,51,3
386,60,4
386,31,3
386,86,2
386,78,4
386,5,4
387,21,3
387,37,2
387,20,2
387,88,4
387,77,3
387,51,2
387,69,2
387,34,4
387,5,3
388,74,4
388,94,2
388,91,3
388,89,3
388,36,2
388,58,1
388,61,4
390,35,2
390,37,1
390,36,4
390,58,1
390,68,4
390,97,1
390,13,2
390,92,4
390,77,4
390,29,4
390,60,3
390,99,4
390,21,2
390,96,1
390,19,4
390,31,1
390,90,3
390,47,4
390,64,1
390,1,2
390,53,2
390,39,1
390,63,3
390,81,4
390,23,3
391,42,1
391,58,3
391,53,1
391,84,4
391,77,3
391,54,4
391,38,1
391,32,4
391,16,2
391,96,3
391,61,4
391,85,2
391,73,2
391,70,2
391,29,1
391,57,1
391,27,4
391,64,2
391,71,1
391,5,2
391,13,2
391,1,4
544,29,4
544,12,3
544,22,3
544,42,1
544,49,3
544,66,1
544,34,2
544,8,4
544,61,1
544,80,1
544,57,3
544,35,2
544,46,4
544,30,2
544,23,2
544,52,3
544,4,2
544,31,3
544,5,1
544,59,3
545,90,3
545,80,3
545,88,4
545,22,4
545,41,3
545,3,2
545,69,3
545,17,1
545,74,3
545,57,4
545,20,3
545,10,3
545,65,2
545,59,4
545,18,4
545,83,3
545,2,2
545,71,2
545,16,1
545,97,2
545,72,3
545,91,3
545,44,2
545,54,2
545,70,4
545,39,1
545,8,3
547,83,4
547,35,2
547,43,1
547,52,3
547,38,4
547,82,1
547,60,3
547,40,4
547,51,3
547,81,4
547,79,1
547,70,4
547,63,3
547,46,3
547,32,1
547,47,3
547,90,3
547,58,4
547,96,3
547,7,3
547,65,1
547,68,3
547,99,3
547,8,2
547,6,2
547,89,3
547,31,4
549,99,2
551,41,4
551,64,1
551,46,1
551,22,3
551,85,4
551,36,1
551,29,4
551,39,4
551,86,3
551,4,4
551,47,3
551,62,4
551,24,4
551,76,4
551,70,3
551,38,4
551,5,4
551,2,1
551,83,4
552,2,3
553,13,1
553,85,4
553,72,4
554,97,1
554,33,2
554,73,3
554,20,1
554,65,1
554,94,2
554,24,2
554,72,4
555,2,2
555,75,3
555,8,3
555,98,2
555,34,4
555,33,1
555,65,3
555,80,2
555,90,2
555,78,4
557,70,2
557,2,4
557,21,2
557,94,3
557,72,4
557,75,2
557,6,4
557,61,4
557,4,3
557,84,1
557,35,4
557,26,3
557,80,2
557,77,1
557,74,4
557,40,3
557,79,1
557,25,2
557,12,1
557,45,1
557,99,3
557,60,3
557,85,1
557,67,2
557,11,4
557,95,4
557,39,2
557,36,2
558,47,3
558,80,4
558,72,2
558,21,3
558,33,2
558,15,4
558,73,4
558,60,3
558,67,1
558,76,4
558,46,1
558,11,2
559,66,4
559,65,3
559,18,2
559,68,2
559,44,3
559,63,4
559,40,2
559,93,2
559,51,2
562,38,1
562,59,3
562,37,1
562,69,4
562,53,4
562,28,3
562,22,1
562,81,2
562,47,1
562,71,2
562,3,4
562,20,1
562,51,4
562,99,1
562,74,2
562,83,4
563,45,2
563,39,1
563,73,1
563,38,2
563,65,3
563,22,4
563,59,2
563,84,2
563,96,2
563,6,2
563,57,1
563,5,4
563,9,1
563,11,2
563,43,3
563,67,4
563,92,1
563,37,1
566,18,1
566,16,4
566,60,4
566,19,1
566,49,2
566,53,4
566,58,3
566,59,3
566,87,4
566,48,3
566,81,2
566,35,3
566,25,2
566,8,3
566,90,3
566,86,4
567,9,4
567,71,1
567,27,3
567,13,2
567,12,1
567,38,3
567,15,3
567,11,4
567,64,2
567,77,2
567,69,1
567,82,2
567,35,3
568,54,2
568,17,3
568,53,4
568,71,1
568,38,4
568,85,4
568,24,3
568,66,1
568,55,2
568,33,4
568,34,4
568,82,1
568,60,1
568,86,3
568,79,4
568,7,2
568,63,3
568,72,2
568,46,3
568,89,2
568,88,1
568,10,1
568,62,1
568,96,3
568,5,2
569,64,4
569,4,1
569,88,1
569,21,3
569,66,1
569,97,2
569,58,1
569,63,1
569,39,1
569,55,1
569,82,2
569,75,1
569,31,1
569,59,4
570,59,3
570,3,2
570,63,2
570,27,1
570,8,2
570,62,4
570,26,1
570,20,3
570,96,1
570,66,1
570,25,2
570,6,3
570,15,4
570,5,1
570,36,2
570,32,4
570,82,4
570,70,3
570,73,1
570,90,3
570,75,4
570,85,1
570,64,1
570,81,2
570,99,3
570,89,2
570,30,2
570,57,1
570,68,1
571,17,2
571,8,3
571,47,2
571,82,1
571,57,3
571,25,3
573,1,4
573,45,4
573,81,4
573,19,4
573,51,1
576,22,3
578,91,1
578,31,3
579,44,1
579,70,2
579,23,2
579,96,2
579,22,4
580,26,3
580,30,2
580,19,1
580,1,2
580,84,4
580,76,2
580,57,4
580,50,4
580,25,3
580,95,1
580,68,4
580,2,1
580,8,1
580,58,2
580,10,3
580,73,3
580,65,4
580,29,4
580,24,3
580,82,1
580,44,4
580,89,1
580,23,1
580,27,4
580,98,4
581,58,3
581,53,4
581,45,1
581,66,4
581,2,4
581,51,2
581,78,1
581,91,3
581,49,4
581,77,4
581,54,2
581,90,4
581,64,1
581,25,3
581,95,3
581,34,4
581,24,3
581,12,2
581,17,2
581,89,4
581,36,2
581,42,1
583,48,2
583,53,4
586,13,1
586,98,4
586,50,2
586,9,3
586,25,4
586,10,1
586,28,3
586,87,3
586,8,2
586,48,3
586,70,1
586,30,3
586,66,2
586,64,2
587,27,2
587,52,4
587,62,3
590,90,2
590,23,1
590,79,4
590,43,2
592,96,4
592,37,1
694,45,1
694,67,4
694,63,2
704,45,3
704,98,4
704,41,3
704,12,1
704,7,3
704,14,2
704,99,1
704,84,1
704,6,3
704,10,4
704,60,3
704,92,3
704,64,1
704,29,1
704,44,2
704,77,2
704,73,4
717,20,3
717,19,4
717,36,3
717,74,3
717,60,2
717,1,4
717,23,2
717,22,1
717,67,3
717,49,1
717,76,2
717,57,1
742,93,1
742,75,4
742,14,3
742,55,1
742,92,2
742,64,2
742,85,4
742,33,1
742,30,2
742,46,3
742,90,3
742,69,1
742,63,1
742,91,3
744,48,3
744,25,3
744,91,4
744,4,2
744,63,2
744,57,2
744,10,1
744,44,2
744,49,2
744,1,4
744,74,3
744,73,4
744,85,4
744,95,3
744,51,2
744,7,3
744,82,4
744,46,1
744,12,2
744,26,3
744,65,1
744,70,4
744,11,4
744,72,3
749,57,3
749,79,2
749,51,2
750,65,4
750,81,2
750,40,1
750,28,4
750,36,2
750,8,1
750,23,3
750,47,3
753,9,3
753,36,4
753,21,3
753,52,1
753,40,1
753,3,4
753,68,4
753,64,1
825,79,1
825,4,3
825,72,3
825,91,2
825,98,2
825,89,2
825,3,2
836,85,4
836,60,4
836,49,2
836,10,4
836,30,3
836,40,2
836,14,1
836,22,2
836,32,4
843,70,1
843,92,3
843,21,3
856,37,1
856,81,4
856,35,3
856,85,2
856,57,2
856,31,1
856,69,4
856,34,1
856,12,4
856,22,4
856,2,4
856,80,1
856,86,4
856,1,3
856,64,1
856,41,1
856,60,2
856,98,1
856,4,4
856,54,3
856,19,2
856,55,3
856,53,3
856,36,3
856,74,4
860,36,1
860,56,2
860,91,1
860,50,2
860,31,3
860,5,2
899,59,1
899,39,4
899,7,3
899,52,3
899,92,2
899,65,4
899,68,4
899,69,1
899,77,1
899,9,3
899,16,1
899,95,2
899,43,1
899,5,4
899,30,1
899,6,4
899,75,4
899,55,2
899,40,4
899,24,2
899,94,4
966,93,4
966,64,1
966,5,2
966,40,4
966,44,3
966,39,1
966,43,3
966,69,1
966,19,1
966,16,4
966,79,3
966,25,3
966,59,1
990,37,2
990,26,2
990,93,3
990,7,2
990,55,1
990,99,4
990,40,2
990,10,4
990,65,1
990,75,4
990,33,4
992,84,4
992,81,2
992,18,4
992,21,1
992,89,3
992,80,2
992,69,4
992,23,3
992,2,3
992,82,1
992,8,4
992,28,3
992,38,2
992,36,1
992,7,4
992,55,1
992,19,4
992,45,3
992,62,3
992,96,3
992,31,4
992,78,1
992,87,1
992,91,1
992,22,4
992,3,4
992,75,2
992,66,2
992,59,4
994,64,3
994,17,4
994,30,2
994,4,1
994,63,2
994,88,4
994,95,4
994,1,2
994,3,4
994,68,3
994,40,1
994,75,2
994,99,4
994,31,2
994,53,3
994,47,4
994,91,2
994,85,1
994,69,4
994,13,2
994,37,2
994,83,1
994,61,4
994,62,1
994,26,2
994,38,2
1001,63,3
1001,46,4
1001,51,1
1001,14,3
1001,48,3
1005,90,4
1005,33,3
1005,62,2
1005,4,4
1005,92,3
1005,80,4
1007,33,3
1007,68,3
1007,89,4
1007,15,2
1007,10,4
1007,97,2
1007,62,1
1007,75,2
1007,3,1
1007,27,2
1007,82,1
1007,58,2
1009,76,3
1009,43,3
1009,59,3
1009,49,4
1009,61,1
1009,18,4
1009,40,3
1009,82,3
1009,83,4
1009,50,1
1009,54,2
1009,30,2
1009,90,3
1009,78,2
1009,32,1
1009,25,3
1009,16,1
1009,45,3
1009,27,2
1009,84,2
1009,29,3
